Price,Brand,Processor Brand,Processor Model,Generation,Processor Base Frequency,Processor Max Frequency,Processor Core,Processor Thread,CPU Cache,RAM,RAM Type,Display Size,Graphics Memory,Battery Capacity
58090.0,1.0,2.0,6.0,3.0,2.6,3.5,2.0,2,4.0,4.0,1.0,15.6,1.0,37.0
59400.0,2.0,1.0,3.0,11.0,3.0,4.1,2.0,2,6.0,1.0,1.0,15.6,1.0,38.0
61300.0,2.0,1.0,3.0,11.0,3.0,4.1,2.0,2,6.0,1.0,1.0,14.0,1.0,45.0
58190.0,9.0,1.0,3.0,11.0,3.0,4.1,2.0,2,6.0,1.0,1.0,14.0,1.0,49.0
62390.0,1.0,1.0,3.0,11.0,3.0,4.1,2.0,2,6.0,4.0,1.0,15.6,1.0,37.0
62930.0,3.0,1.0,3.0,11.0,3.0,4.1,2.0,2,6.0,1.0,1.0,15.6,1.0,41.0
63690.0,6.0,2.0,6.0,5.0,2.7,2.7,4.0,1,8.0,1.0,1.0,15.6,1.0,41.0
61050.0,1.0,1.0,3.0,11.0,3.0,4.1,2.0,2,6.0,4.0,1.0,15.6,1.0,42.0
63250.0,4.0,1.0,3.0,11.0,3.0,4.1,2.0,2,6.0,1.0,4.0,14.0,1.0,48.0
62470.0,9.0,1.0,2.0,8.0,1.8,4.0,4.0,1,8.0,1.0,1.0,15.6,1.0,31.0
63520.0,1.0,1.0,3.0,11.0,3.0,4.1,2.0,2,6.0,1.0,1.0,15.6,1.0,37.0
64020.0,1.0,1.0,3.0,11.0,3.0,4.1,2.0,2,6.0,1.0,1.0,15.6,1.0,37.0
63000.0,4.0,1.0,3.0,11.0,3.0,4.1,2.0,2,6.0,1.0,1.0,14.0,1.0,48.0
64560.0,1.0,1.0,1.0,10.0,1.0,3.6,4.0,1,6.0,4.0,1.0,15.6,1.0,37.0
62700.0,4.0,1.0,3.0,13.0,1.0,3.6,3.0,1,6.0,1.0,5.0,15.6,1.0,40.0
65640.0,3.0,2.0,6.0,5.0,2.6,3.8,4.0,1,4.0,1.0,1.0,15.6,1.0,41.0
65450.0,2.0,1.0,3.0,11.0,3.0,4.1,2.0,2,6.0,1.0,1.0,15.6,1.0,45.0
66730.0,3.0,1.0,3.0,12.0,3.0,4.1,6.0,1,10.0,4.0,1.0,15.6,1.0,41.0
65000.0,2.0,2.0,5.0,7.0,2.8,2.8,4.0,1,8.0,1.0,2.0,14.0,1.0,42.0
65000.0,2.0,2.0,5.0,7.0,2.8,2.8,4.0,1,8.0,1.0,2.0,15.6,1.0,42.0
67810.0,1.0,1.0,3.0,11.0,3.0,4.1,2.0,2,6.0,1.0,1.0,15.6,1.0,37.0
