Price,Brand,Processor Base Frequency,Processor Max Frequency,Processor Brand,Processor Model,Generation,Processor Core,Processor Thread,CPU Cache,Chipset Model,Display Size,Display Type,Display Resolution,Touch Screen,Display Features,RAM,RAM Type,Total RAM Slot,Max RAM Capacity,Storage Type,Storage Capacity,Extra M.2 Slot,Graphics Model,Graphics Memory,Keyboard Type,TouchPad,WebCam,Speaker,Microphone,Optical Drive,Card Reader,VGA/D-Sub,HDMI Port,USB 3 Port,USB Type-C / Thunderbolt Port,Headphone & Microphone Port,LAN,WiFi,Bluetooth,Fingerprint Sensor,Security Locker Slot,Security Chip,Operating System,Battery Type,Battery Capacity,Adapter Type,Color,Dimensions,Weight,Warranty Details,Refresh Rate,Bus Speed,Graphics Type,Audio Features,Display Port,Camera Privacy Shutter,Other Features,Supported SSD Type,Mini HDMI Port,USB 2 Port,Processor,Display,Memory,Storage,Graphics,Chipset,Battery,Adapter,Audio,Keyboard,Wi-Fi,USB (s),HDMI,Dimensions (W x D x H),Color(s),Manufacturing Warranty,Removable,HDD RPM,Storage Upgrade,Body Material,Keyboard Features,Backup Time (Approx),Response TIme
81960,ASUS,2.4,4.2,Intel,Core i5,11th Gen,4,8,8MB,NULL,15.6,IPS,FHD (1920 x 1080),No,"16:9, Anti-glare, Backlit, 250nits, NTSC: 45%, Screen-to-body ratio: 84 % Display",8GB (ON BOARD),DDR4,NULL,Up to 20 GB (16+4=total 20GB),PCI-E G3 SSD,512GB,1x M.2 2280,Intel Iris Xe Graphics,Shared,Illuminated Chiclet Keyboard,Yes,VGA camera,Built-in speaker,Built-in microphone,N/A,Micro SD card reader,NULL,1x HDMI 1.4,1x USB 3.2 Gen 1 Type-A,1x USB 3.2 Gen 1 Type-C,1x 3.5mm Combo Audio Jack,N/A,Wi-Fi 5(802.11ac),Bluetooth 4.1 (Dual-band),N/A,NULL,N/A,Windows 11 64-bit,"2S1P, 2-cell Li-ion",37WHrs,45W AC Adapter,PEACOCK BLUE (BQ1367W-X515EA),"36.02 x 23.49 x 1.99 ~ 1.99 cm (14.18"" x 9.25"" x 0.78"" ~ 0.78"")",1.80 kg (3.97 lbs),02 years International Limited Warranty (Battery 1 year),NULL,NULL,NULL,"SonicMaster
Audio by ICEpower
with Cortana support",N/A,N/A,NULL,PCIe 3.0x2,NULL,2x USB 2.0 Type-A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1x STD 2.5” SATA HDD,NULL,Num-key 1.4mm Key-travel,NULL,NULL
85250,DOEL,1.8,4.9,Intel,Core i7,10th Gen,4,8,8MB,NULL,14,NULL,FHD (1920x1080),N/A,"Matte LED Backlit Display with 45% NTSC 180° Hinge, A&D Cover Metal",8GB,DDR4,2,32GB,M.2 2280 SSD,512GB,N/A,Intel UHD Graphics,Shared,Standard Keyboard,Built-in Click pad with Microsoft PTP multi-gesture and scrolling,1.0M HD video camera,2×2w Speakers,Built-in array microphone,N/A,N/A,NULL,1 x HDMI output port(with HDCP),1 x USB 3.2 Gen 2 port (Type-A),1 x USB 3.2 Gen 2 port (Type-C),1 x 2-in-1 Audio jack (Headphone/ Microphone Jack),Built-in 10/100/1000Mb Base-TX Ethernet LAN,"Intel Dual Band Wireless-AC 9462, 1x1 AC",Yes,N/A,NULL,NULL,"Genuine License Windows 10, 64 bit (Edu)",Embedded 3 cells Smart Lithium-Ion,36WH,AC Adapter with Power Cord,Black,NULL,1.30 KG,01 Year Warranty,NULL,2666NIHz,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1 x USB 2.0 (Type-A),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Multi-language A4 size isolated keyboard (Bijoy Bangla Layout),5 Hrs,NULL
83590,Asus,2.4,4.2,Intel,Core ,11th Gen,4,8,8MB,NULL,14,FHD LED,FHD (1920 x 1080),No,"WV DisplWV Display, 16:9 aspect ratio, LED Backlit, 250nits, 45% NTSC color gamut for non-OLED, Screen-to-body ratio: 82%ay",8GB,DDR4,NULL,NULL,SSD,512GB,1x M.2 2280 PCIe 3.0x4,Intel Iris Xe Graphics,Shared,Backlit Chiclet Keyboard,Yes,VGA camera,Built-in speaker,Built-in microphone,N/A,Micro SD card reader,NULL,1x HDMI 1.4,1x USB 3.2 Gen 1 Type-A,1x USB 3.2 Gen 1 Type-C,1x 3.5mm Combo Audio Jack,N/A,Wi-Fi 5(802.11ac),Bluetooth 4.1 (Dual-band),Yes,NULL,Firmware TPM,Windows 11 Home,"2S1P, 2-cell Li-ion",37WHrs,45W AC Adapter,Black,360.0 x 235.0 x 19.9mm,1.80 kg (3.97 lbs),02 years International Limited Warranty (Battery 1 year),60Hz,3200MHz,NULL,SonicMaster Audio,N/A,NULL,NULL,NULL,NULL,2x USB 2.0 Type-A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Num-key 1.4mm Key-travel,NULL,NULL
82790,Lenovo,2.4,4.2,Intel,Core i5,11th Gen,4,8,8MB,NULL,15.6,NULL,FHD (1920 x 1080),No,TN 250nits Anti-glare (4 Sided Narrow Bezel),4GB + 4GB = 8GB (Onboard),DDR4,2,Up to 12GB,M.2 NVME SSD,512GB,N/A,NVIDIA GeForce MX350,2GB,Backlit Keyboard,Yes,720p,2 x 1.5W speakers,Yes,N/A,"4-in-1 Card Reader (SD, SDHC, SDXC, MMC)",NULL,1x HDMI 1.4b,2x USB 3.1 ports,NULL,Headphone / mic combo,N/A,"802.11ax, 5×2 Wireless LAN",Bluetooth Version 5.0,Yes,NULL,FW TPM 2.0,"Windows 11 Home 64, English",3 Cell Li-Polymer,45Wh,"65W Round Tip (2-pin, Wall-mount)",Arctic Grey,NULL,1.65kg,03 years Limited Warranty (Terms & conditions Apply As Per Lenovo),NULL,3200 Mhz,GDDR5,Dolby Audio,NULL,Yes,NULL,M.2 NVME PCIe,NULL,1x USB 2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,Installed SSD can be upgradeable,NULL,NULL,NULL,NULL
81420,Huawei,2.4,4.2,Intel,Core i5,11th Gen,4,8,8MB,NULL,15.6,IPS,FHD (1920 x 1080),No,"Screen-to-body Ratio 87%, 16 : 9, 250 nits",8GB,DDR4,NULL,NULL,NVMe PCle SSD,512GB,N/A,Intel Iris Xe Graphics,Shared,Full-size keyboard,Yes,720P HD,2x 2W,2,N/A,N/A,NULL,HDMI x 1,USB 3.2 Gen1 x 1,USB-C x 1,3.5 mm headset and microphone 2-in-1 jack,"11ac, 2x2","IEEE 802.11 a/b/g/n/ac/ax,160 MHz
2.4 GHz and 5 GHz
2 x 2 MIMO
WPA/WPA2/WPA3",Bluetooth 5.1,Fingerprint Power Button,NULL,NULL,Windows 11 Home,NULL,42 Wh,HUAWEI USB-C AC Adapter,Mystic Silver,357.8 x 229.9 x 16.9 mm,Approx. 1.63 kg,2 years,60Hz,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,USB 2.0 x 2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aluminum alloy,NULL,NULL,NULL
81420,Huawei,2.4,4.2,Intel,Core i5,11th Gen,4,8,8MB,NULL,14,IPS,FHD (1920 x 1080),No,"Screen-to-body Ratio 84%, 16 : 9, 300 nits",8GB,DDR4,1,NULL,NVMe PCle SSD,512GB,N/A,Intel Iris Xe Graphics,Shared,Full-size keyboard,Yes,720P HD,2x 2W,2,N/A,N/A,NULL,HDMI x 1,USB 3.2 Gen1 x 1,USB-C x 1,3.5 mm headset and microphone 2-in-1 jack,"11ac, 2x2","IEEE 802.11 a/b/g/n/ac/ax,160 MHz
2.4 GHz and 5 GHz
2 x 2 MIMO
WPA/WPA2/WPA3",Bluetooth 5.1,Fingerprint Power Button,NULL,NULL,Windows 11 Home,Lithium polymer,56 Wh,HUAWEI 65 W Power Adapter,Mystic Silver,"Width: 322.5 mm
Depth: 214.8 mm
Height: 15.9 mm",Approx. 1.38 kg,2 years,60Hz,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,USB 2.0 x 2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,Metal,NULL,NULL,NULL
83600,Acer,3.3,4.4,Intel,Core i5,12th Gen,10 (Performance-cores- 2 Efficient-cores- 8),12,12MB,NULL,15.6,TFT LCD,FHD (1920x1080),No,ComfyView Display,8GB (4GBx2),DDR4,2,32GB,"PCIe Gen3, 8 Gb/s up to 4 lanes, NVMe",512GB,NULL,Intel Iris Xe Graphics,Shared,Yes,Multi-gesture touchpad,HD camera,Stereo,"Yes, with Temporal Noise Reduction",N/A,N/A,NULL,1x HDMI,2x USB 3.2 port,1x USB Type-C port with DC -in,mic and headphone combo jack,Yes,IEEE 802.11a/b/g/n/ac,Bluetooth 5.0,N/A,NULL,NULL,Windows 11 Home,3-cell Lithium Ion (Li-Ion),40 Wh,3-pin 45 W AC adapter,Pure Silver,1.9 cm x 36.2 cm x 24 cm,1.7 Kg,2 Years,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,99-/100-/103-key Acer keyboard layout with international language support including indicators of CapsLock and F4/Microphone mute,NULL,NULL
85250,Lenovo,2.4,4.2,Intel,Core i5,11th Gen,4,8,8MB,NULL,15.6,LED,FHD (1920x1080),NULL,"Slim Bezel, TN Panel 250 nits",8GB,DDR4,1,NULL,NVMe PCIe,512GB,NULL,NVIDIA GeForce MX350,2GB,"Backlit, English (EU)",NULL,HD Camera,Yes,Yes,NULL,4-in-1 Card Reader,NULL,1 x HDMI,1 x USB 3.2 Gen 1,1 x USB 3.2 Gen 1 Type-C,Combo,NULL,Wi-Fi 11ac 2x2,Bluetooth 5.0,Yes,NULL,Firmware TPM 2.0,Windows 11 Home,Li-Ion,45Wh,"65W Round Tip (2-pin, Wall-mount)",Abyss Blue,359.2 x 236.5 x 19.9mm,1.65 kg,02 years Limited Warranty (Terms & Conditions Apply As Per Lenovo),NULL,3200 MHz,GDDR5,"Stereo speakers, 1.5W x2, Dolby Audio.",NULL,Yes,NULL,NULL,NULL,1 x USB 2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86580,Asus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,NULL,NULL,NULL,NULL,720p HD camera With privacy shutter,NULL,NULL,N/A,1x Micro SD card reader,NULL,NULL,NULL,NULL,NULL,1x RJ45 LAN Jack for LAN insert(10/100/1000),NULL,Bluetooth 5 (Dual band) 2 x 2,NULL,NULL,NULL,Free DOS,NULL,NULL,NULL,NULL,NULL,1.45 kg (With Battery),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,M.2 NVMe PCIe 3.0,NULL,NULL,"Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","14-inch FHD (1920 x 1080) 16:9 LED Backlit, 220nits, Anti-glare display",8GB DDR4-3200MHz RAM,512GB M.2 NVMe PCIe 3.0 SSD,Intel Iris Xe Graphics,NULL,42WHrs 3-cell Li-ion Battery,"65W AC Adapter, Output: 19V DC, 3.42A, 65W, Input: 100~240V AC 50/60Hz universal","Built-in speaker
Built-in array microphone",Illuminated Chiclet Keyboard,Intel Wi-Fi 6 (802.11ax),"1x Thunderbolt 4 supports display and power delivery
1x USB 2.0 Type-A
2x USB 3.2 Gen 2 Type-A",1x HDMI 1.4 Port,32.34 x 21.56 x 1.92 cm,Star Black,03 years International Limited Warranty (Battery 1 year),NULL,NULL,NULL,Aluminum,NULL,NULL,NULL
87670,HP,up ,up ,Intel,Core i5,12th Gen,"10 Core (Performance-cores-2 , Efficient-cores-8)",12,12 MB,Intel Integrated SoC,15.6,IPS,FHD (1920 x 1080),NULL,"Micro-edge
Anti-glare
 250 nits 
45% NTSC",8 GB (4GBx2),DDR4,2,32GB,PCIe NVMe M.2 SSD,512 GB,N/A,Intel Iris Xe Graphics,Shared,Standard Keyboard,Yes,HP True Vision 720p HD,Dual speakers,Integrated dual array digital microphones,N/A,1 x multi-format SD media card reader,NULL,1 x HDMI 1.4b,2x SuperSpeed USB 3.2 Gen 1×1 Type-A 5Gbps signaling rate,1x SuperSpeed USB Type-C 5Gbps signaling rate,1x headphone/microphone combo,N/A,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,Bluetooth 5,N/A,NULL,NULL,Windows 11 Home,3-cell Li-ion Battery,41 Wh,45 W Smart AC power adapter,Silver,35.85 x 24.2 x 1.79 cm,Starting at 1.7 kg,02 years Limited Warranty (Terms & condition Apply As Per HP),NULL,3200Mhz,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Installed SSD can be upgradeable,NULL,Spill-resistant,NULL,NULL
88210,Dell,up ,up ,Intel,Core i5,12th Gen,10 (Performance-cores- 2 Efficient-cores- 8),12,12MB,NULL,15.6,NULL,FHD (1920 x 1080),No,"WVA, Non-Touch, Anti-Glare, 250 nit, Narrow Border, LED-Backlit",8GB x1,DDR4,2,16GB,M.2 PCIe NVMe SSD,512GB,N/A,Intel UHD Graphics,Shared,English International Non-Backlit Keyboard with Numeric Keypad,Yes,720p at 30 fps HD camera,"Stereo speakers, 2 W x 2 = 4 W total",single-integrated microphone,N/A,1 x SD Card Reader,NULL,1 x HDMI 1.4,1 x USB 3.2 Gen 1 port,NULL,1 x Audio jack,No,Intel Wi-Fi 6 2x2 (Gig+),Bluetooth 5.2,No,NULL,NULL,Windows 11,3-Cell Integrated,41WHr,NULL,"Platinum Silver (WARMLKN15ADL23051010PLASPP)
Carbon Black (WARMLKN15ADL23051010PLASPP)","Height (front): 16.96 mm (0.67 in.)
Height (rear): 21.07 mm (0.83 in.)
Width: 358.50 mm (14.11 in.)
Depth: 235.56 mm (9.27 in.)",1.65 kg,2 Years Warranty ( Battery & Adapter 1 Year),120Hz,2666MHz,NULL,NULL,Yes,NULL,NULL,M.2 PCIe NVMe,NULL,1 x USB 2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Installed SSD can be upgradeable,NULL,NULL,NULL,NULL
85000,Acer,2.8,4.7,Intel,Core i7,11th Gen,4,8,12MB,Intel SOC,14,IPS,Full HD (1920X1080),No,Wide Viewing Angle up to 170 Degrees,8GB,DDR4,2,Up to 32 GB,HDD,1TB,Yes,Intel Iris Xe Graphics,Shared,Standard Keyboard,Yes,HD Cam,1.5Wx2=3W,Yes,N/A,1x SD Card Slot,1 x VGA,1 x HDMI 2.0,3x USB 3.1 (TYPE A),1x USB 3.1 (TYPE C),1 x Headset/speaker jack,1 x RJ-45,Intel AX201 WiFi 6,Bluetooth 5.0,Yes,NULL,HW TPM2.0,Free DOS,3-cell Li-ion,48 Wh,3-pin 45 W AC adapter,Black,"Height: 19.90 mm
Width: 328 mm
Depth: 235.9 mm",1.68 kg,3 years warranty (Battery Adapter 01 year),NULL,3200MHz,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5400 RPM,NULL,NULL,NULL,Up to 10 hours,NULL
89560,Lenovo,2.4,4.2,Intel,Core i5,11th Gen,4,8,8 MB,NULL,14,IPS,FHD (1920×1080),No,300nits Anit Glare Display,8GB,DDR4,1,8GB,M.2 NVME SSD,512GB,N/A,NVIDIA MX450,2GB,Backlit Keyboard,Yes,HD Webcam,Yes,Yes,N/A,1x Card reader,NULL,1x HDMI 1.4b,"1x USB 3.2 Gen 1
1x USB 3.2 Gen 1 (Always On)","1x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0",1x Headphone/microphone combo jack (3.5mm),N/A,AX WiFi 6 x 2,Bluetooth 5.1,Yes,NULL,W TPM 2.0,Windows 10,NULL,56.5Wh Battery Fast Charging Enable.,NULL,GRAPHITE GREY,321.57 x 211.59 x 17.9-19.9 mm (12.66 x 8.33 x 0.7-0.78 inches),1.39 kg (3.06 lbs),2 years Limited Warranty (Terms & Conditions Apply As Per Lenovo).,NULL,3200MHz,GDDR6,Dolby Audio,NULL,Yes,NULL,M.2 NVME,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,Installed SSD can be upgradeable,NULL,NULL,NULL,NULL
90060,Lenovo,2.4,4.2,Intel,Core i5,11th Gen,4,8,8MB,NULL,14,IPS,FHD (1920 x 1080),No,Non-Touch IPS 250 nits Anti-glare,8GB,DDR4,1,24GB,M.2 2242 PCIe Gen3 TLC SDD,512GB,N/A,Intel UHD Graphics,Shared,Non-backlight,Yes,720p HD,Yes,Yes,N/A,1x microSD card reader,NULL,1x HDMI 1.4b,"1x USB 3.2 Gen 1
1x USB 3.2 Gen 1 (Always On)","1x USB-C 3.2 Gen 2 (support data transfer, Power Delivery 3.0, and DisplayPort 1.4)
1x Thunderbolt 4 / USB 4 40Gbps (support data transfer, Power Delivery 3.0, and DisplayPort 1.4)",1x Headphone/microphone combo jack (3.5mm),1x Ethernet (RJ-45),WLAN: Intel Wi-Fi 6 AX201 802.11AX (2 x 2),Bluetooth 5.0,NULL,NULL,"Discrete TPM 2.0, TCG certified",FreeDOS,3 Cell Li-Polymer,45Wh,65W AC adapter,Mineral Grey,"17.9mm x 323mm x 218mm / 0.7"" x 12.71"" x 8.58""",Starting at 1.5kg,03 Year Warranty (Terms & Conditions Apply As Per Lenovo),NULL,3200MHz,NULL,"High Definition (HD) Audio, Realtek ALC3287 codec",NULL,Yes,"EPEAT Gold
ENERGY STAR 8.0
TCO Certified
RoHS compliant
MIL-STD-810H military test passed",M.2 2242 PCIe Gen3 TLC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,"Additional HDD Can be added, and SSD can be replaced",NULL,NULL,NULL,NULL
90600,Lenovo,2.4,4.2,Intel,Core i5,11th Gen,4,8,8MB,NULL,15.6,IPS,FHD (1920×1080),No,300nits Anit Glare Display,8GB,DDR4,1,8GB,HDD + M.2 NVME SSD,1TB HDD+ 256GB M.2 NVME SSD,N/A,NVIDIA MX450,2GB,Backlit Keyboard,Yes,720P,Yes,Yes,N/A,"4-in-1 Card Reader (SD, SDHC, SDXC, MMC)",NULL,1x HDMI,2 x USB-A 3.1 Gen 1,"1 X USB-C Gen 1 (power delivery, display port)",Audio Combo Jack,N/A,AX WiFi 6 x 2,Bluetooth 5.1,Yes,NULL,NULL,Windows 10,NULL,NULL,NULL,Grey,14.04″ x 9.18″ x 0.7″ / 356.67mm x 233.13mm x 17.9mm,1.66 KG,2 years Limited Warranty (Terms & conditions Apply As Per Lenovo).,NULL,3200MHz,GDDR6,Dolby Audio,NULL,Yes,NULL,M.2 NVME SSD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,Installed HDD and SSD Can Be Upgradeable,NULL,NULL,Up to 10 Hours (Fast Charging Enable),NULL
85514,Walton,2.8,4.7,Intel,Core i7,11th Gen,4,8,12MB,NULL,14.0,IPS,FHD (1920x1080),No,Matte LED Backlit Display with 100% sRGB,8GB,DDR4,2,Up to 32GB,"M.2 2280, PCIe Gen3x4 SSD",512GB,Yes,Intel UHD Graphics,Shared,LED illuminated Keyboard,Click pad with Microsoft PTP multi-gesture and scrolling function,1.0M HD,2x1.5W,Built-in array mic,N/A,"6-in-1 Card reader
(MMC / RSMMC/SD / mini SD / SDHC / SDXC)",NULL,1 x HDMI output port (with HDCP),2 x USB 3.2 Gen 1 (Type A),"1 x Thunderbolt 4 combo port with Power Delivery DC in (Type C)
1 x USB 3.2 Gen 2 (Type C)",1 x 2-in-1 Audio jack,Built in 10/100/1000Mb Base-TX Ethernet LAN,Wi-Fi 6.0 (802.11ax(2x2),Bluetooth 5.2,N/A,NULL,NULL,Genuine Windows 11,4 cells Smart Lithium-Ion,49WH,"Full Range AC adapter, AC in 110~240V, 50~60Hz
DC output 19V, 3.42A, 65W",Sky Blue,"Height: 17.6mm
Width: 324.9mm
Depth: 225mm",1.40kg,2 years Warranty (Battery Adapter 1 year),NULL,3200MHz,NULL,NULL,NULL,NULL,NULL,SATAIII/ PCIe Gen3x4 M.2 2280,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Multi languages A4 size isolated keyboard with Bengali font (Bangladesh Layout),NULL,NULL
90750,Lenovo,up ,up ,Intel,Core i5,12th Gen,10 (Performance-cores- 2 Efficient-cores- 8),12,12MB,NULL,15.6,LED,Full HD (1920x1080),No,"Brightness: 300nits, Anti Glare, Panel: TN",8GB,DDR4,1,16GB,PCIe NVMe,512GB SSD,Yes,Intel Iris Xe Graphics,Shared,"Backlit, English (EU)",Yes,HD Webcam,Yes,Dual microphone,N/A,4-in-1 Card Reader,NULL,1x HDMI 1.4b,1 x USB 3.2 Gen 1,1 x USB-C 3.2 Gen 1,1x Headphone/microphone combo jack (3.5mm),NULL,"Intel Wi-Fi 6E AX210, 802.11ax 2x2 Wi-Fi",Bluetooth 5.0,Yes,NULL,Firmware TPM 2.0,Win-11 Home,Li-Ion,45Wh,65 W External AC power adapter,Arctic Grey,359.2 x 236.5 x 19.9mm,1.63 kg,02 years Warranty (Terms & conditions Apply As Per Lenovo),NULL,3200MHz,NULL,High Definition (HD) Audio,NULL,Yes,"Certification:
EPEAT Gold
ENERGY STAR 8.0
TCO Certified
RoHS compliant",NULL,NULL,1 x USB 2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Installed SSD can be upgradeable,NULL,NULL,NULL,NULL
87950,Acer,up ,up ,Intel,Core i5,12th Gen,"12 (Performance-cores-4, Efficient-cores-8)",16,12MB,NULL,14,IPS,Full HD 1920 x 1080,No,"High-brightness Acer ComfyView LED-backlit TFT LCD
16:9 aspect ratio, 45% NTSC color gamut
The wide viewing angle of up to 170 degrees
Mercury-free, environment friendly",8GB,DDR4,NULL,NULL,PCIe M.2 NVMe,512GB,NULL,Intel Iris Xe Graphics,Shared,Standard Numeric keypad,Yes,720p HD,Two built-in stereo speakers,Dual Mic (33 mm + 33 mm),N/A,N/A,NULL,1x HDMI,3 x USB 3.2 Port Type A,"1x Type-C Supporting Thunderbolt 4, USB 3.2 Gen 2, Display Port over USB-C, USB Charging 5V;3A",Audio Jack Combo,"Gigabit Ethernet, Wake-on-LAN ready","Wi-Fi 6E Wireless LAN
802.11a/b/g/n/ac/ax wireless LAN
Band : 2.4 GHz, 5 GHz and 6 GHz
2x2 MU-MIMO technology",Bluetooth 5.2,N/A,NULL,NULL,Free DOS,3-cell Li-ion battery,50 Wh,3-pin 50 W AC Adapter,Pure Silver,328 x 223 x 17.95mm,1.5 kg,3 years warranty (01 year Battery & Adapter),NULL,NULL,NULL,"Acer TrueHarmony technology for lower distortion, wider frequency range, headphone-like audio and powerful sound",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,NULL,NULL,NULL,80-/81-/84-key Acer keyboard,NULL,NULL
91180,Acer,2.8,4.7,Intel,Core i7,11th Gen,4,8,12MB,Intel SOC,14,IPS,Full HD (1920X1080),No,Wide Viewing Angle up to 170 Degrees,8GB,DDR4,2,Up to 32 GB,M.2 NVME SSD,512GB,Yes,Intel Iris Xe Graphics,Shared,Standard Keyboard,Yes,HD Cam,1.5Wx2=3W,Yes,N/A,1x SD Card Slot,1 x VGA,1 x HDMI 2.0,3x USB 3.1 (TYPE A),1x USB 3.1 (TYPE C),1 x Headset/speaker jack,1 x RJ-45,Intel AX201 WiFi 6,Bluetooth 5.0,Yes,NULL,HW TPM2.0,Free DOS,3-cell Li-ion,48 Wh,3-pin 45 W AC adapter,Black,"Height: 19.90 mm
Width: 328 mm
Depth: 235.9 mm",1.68 kg,3 years warranty (Battery Adapter 01 year),NULL,3200MHz,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Up to 10 hours,NULL
90920,Dell,2.8,4.7,Intel,Core i7,11th Gen,4,8,12MB,NULL,14.0,NULL,FHD (1920 x 1080),No,Anti-glare LED Backlight  Narrow Border WVA Display,8GB,DDR4,NULL,NULL,M.2 PCIe NVMe Solid State Drive,512GB,N/A,NVIDIA GeForce MX330,2GB,Backlit Keyboard,Yes,1280x720 Intergrated HD Webcam,Stereo speakers professionally tuned with Waves MaxxAudio Pro,Yes,N/A,1x 3-in-1 SD Media Card Reader,NULL,1x HDMI 1.4b,2x USB 3.2 Gen 1 Type-A,1x USB 3.2 Gen 1 Type-C (Data only),3.5 mm Headset Jack,N/A,802.11ac 2x2,Yes,No,NULL,NULL,Free DOS,3-Cell Integrated,40WHr,45 Watt AC Adaptor,"Black
Silver","Height: Front: 0.66"" (16.74 mm) Rear: 0.7"" (17.9 mm)
Width: 12.65"" (321.3 mm)
Depth: 8.51"" (216.2 mm)",3.03 lb (1.36 kg),3 years,NULL,3200MHz,GDDR5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
