Price,Brand,Processor Brand,Processor Model,Generation,Processor Base Frequency,Processor Max Frequency,Processor Core,Processor Thread,CPU Cache,RAM,RAM Type,Storage Capacity,Display Size,Graphics Memory,Battery Capacity
75500,ASUS,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,1TBGB SSD,15.6,Shared,37
63000,Asus,Intel,Core i3,11th Gen,3,4.1,4,16,6,8GB,DDR4,1TBGB SSD,15.6,4GB,37
47000,Asus,Intel,Core i3,10th Gen,2.1,4.1,8,12,4,4GB,DDR4,1TBGB SSD,15.6,4 GB,37
105500,Asus,Intel,Core i7,11th Gen,2.8,4.7,NULL,16,12,8GB,DDR4,512GB SSD,15.6,NULL,42
66000,ASUS,Intel,Core i3,11th Gen,3,4.1,8,8,6,8GB,DDR4,512GB SSD,15.6,Shared,42
66000,ASUS,Intel,Core i3,11th Gen,3,4.1,4,8,6,8GB,DDR4,512GB SSD,15.6,Integrated,42
66000,ASUS,Intel,Core i3,11th Gen,3,4.1,4,12,6,8GB,DDR4,512GB SSD,15.6,2GB,42
72000,Asus,Intel,Core i5,11th Gen,2.4,4.2,8,8,8,4GB,DDR4,512GB SSD,14,Shared,37
72500,Asus,Intel,Core i5,11th Gen,2.4,4.2,8,8,8,4GB,DDR4,512GB SSD,14,Shared,37
54000,Asus,Intel,Core i3,11th Gen,3,4.1,8,8,6,4GB,DDR4,256GB SSD,14,Shared,37
87800,ASUS,Intel,Core i5,12th Gen,2.4,4.4,8,8,6,8GB,DDR4,512GB SSD,14,Shared,37
89000,ASUS,Intel,Core i5,12th Gen,2.4,4.4,NULL,8,7,8GB,DDR4,512GB SSD,14,NULL,37
69000,ASUS,Intel,Core i3,12th Gen,2.4,4.4,4,8,24,4GB,DDR4,512GB SSD,14,4GB,40
78500,Asus,Intel,Core i5,11th Gen,2.4,4.2,6,8,8,8GB,DDR4,512GB SSD,14,4GB,37
164000,ASUS,Intel,Core i7,12th Gen,2.3,4.7,8,8,24,8GB,DDR4,512GB SSD,15.6,4GB,90
91999,ASUS,Intel,Core i5,10th Gen,2.5,4.5,8,8,8,8GB,DDR4,512GB SSD,15.6,4GB,48
95000,Asus,Intel,Core i5,10th Gen,2.5,4.5,8,12,8,8GB,DDR4,1TBGB SSD,15.6,4GB,48
203000,Asus,Intel,Core i7,12th Gen,2.3,4.7,8,8,24,16GB,DDR5,512GB SSD,15.6,4GB,76
182000,Asus,Intel,Core i5,12th Gen,2,4.4,4,8,12,16GB,DDR5,512GB SSD,15.6,Shared,76
174000,Asus,Intel,Core i7,12th Gen,2.3,4.7,10,12,24,16GB,DDR5,512GB SSD,15.6,Shared,76
159000,Asus,Intel,Core i5,12th Gen,2,4.4,8,8,12,16GB,DDR5,512GB SSD,15.6,4GB,76
350000,ASUS,Intel,Core i9,12th Gen,2.5,5,8,12,24,32GB,DDR5,1TBGB SSD,16,4GB,90
410000,ASUS,Intel,Core i7,7th Gen,2.9,3.9,8,16,8,64GB,DDR4,1536GB SSD,18.4,NULL,74
272000,Asus,Intel,Core i9,12th Gen,2.5,5,12,16,24,16GB,LPDDR5,1TBGB SSD,13.4,6GB,56
270000,ASUS,AMD,Ryzen 7,5th Gen,3.2,4.4,10,12,8,16GB,DDR4,1TBGB SSD,16,4GB,90
360000,Asus,Intel,Core i7,11th Gen,2.3,4.6,NULL,8,24,32GB,DDR4,1TBGB SSD,16,NULL,90
56000,ASUS,Intel,Core i3,11th Gen,3,4.1,NULL,16,6,4GB,DDR4,1TBGB SSD,15.6,NULL,37
51500,Asus,Intel,Core i3,10th Gen,2.1,4.1,4,8,4,4GB,DDR4,1TBGB SSD,14,Shared,48
108000,ASUS,AMD,Ryzen 5,5th Gen,2.4,4.3,4,12,16,4GB,DDR4,NULL,14,Shared,48
160000,ASUS,Intel,Core i7,11th Gen,2.9,5,4,12,12,16GB,DDR4,512GB SSD,14,Shared,64
110000,ASUS,Intel,Core i5,11th Gen,2.4,4.5,8,12,8,8GB,DDR4,Storage:GB SSD,14,4GB,63
152000,ASUS,Intel,Core i7,11th Gen,2.8,4.7,4,12,12,16GB,DDR4,512GB SSD,13.3,Shared,66
90000,ASUS,Intel,Core i5,11th Gen,2.4,4.2,8,12,8,8GB,DDR4,512GB SSD,13.3,4GB,66
308000,Apple,Apple,M1 Pro,Cth Gen,2,4.2,10,16,16,16GB,DDR4,1TBGB SSD,16.2,Shared,70
222000,Apple,Apple,M1 Pro,Cth Gen,1.6,4.2,14,12,14,16GB,DDR4,512GB SSD,14.2,4GB,70
222000,Apple,Apple,M1 Pro,Cth Gen,1.2,4.2,4,8,16,16GB,DDR4,512GB SSD,14.2,4GB,70
249000,Apple,Apple,M1 Pro,Cth Gen,2.4,4.2,8,8,16,16GB,DDR4,1TBGB SSD,14.2,NULL,70
263000,Apple,Apple,M1 Pro,Cth Gen,4.4,4.2,8,8,16,16GB,DDR4,1TBGB SSD,14.2,NULL,70
85000,ACER,Intel,Core i7,11th Gen,2.4,4.7,NULL,,12,8GB,DDR4,1TBGB SSD,14,NULL,48
89000,Acer,Intel,Core i7,11th Gen,2.5,4.7,4,16,12,8GB,DDR4,512GB SSD,14,Shared,48
68500,Acer,Intel,Core i5,11th Gen,2.4,4.2,8,8,8,8GB,DDR4,1TBGB SSD,14,Shared,48
55000,ACER,Intel,Core i3,11th Gen,2.4,4.1,10,12,6,4GB,DDR4,1TBGB SSD,14,4GB,48
100000,Acer,Intel,Core i5,11th Gen,2.3,4.2,4,16,8,8GB,DDR4,512GB SSD,14,Shared,56
71000,Acer,AMD,Ryzen 5,4th Gen,2.3,4,8,16,16,8GB,LPDDR4,512GB SSD,14,6GB,48
217000,Acer,Intel,Core i7,12th Gen,3.3,4.7,4,16,24,8GB,DDR4,TotalGB SSD,15.6,Integrated,57
121000,ACER,Intel,Core i5,12th Gen,3.3,4.5,8,16,18,8GB,DDR4,SSDGB SSD,15.6,4GB,57
154000,ACER,AMD,Model: AMD,Rth Gen,3.3,4.5,4,12,12,8GB,DDR5,1TBGB SSD,15.6,Integrated,57
95500,Acer,AMD,Ryzen 5-5500U,5th Gen,2.4,4,8,8,16,8GB,DDR4,"512GB, SSD",15.6,Shared,48
117000,ACER,Intel,Core i5,12th Gen,3.3,4.4,8,16,8,8GB,DDR4,512GB SSD,15.6,6GB,50
